数据表,字段名,数据类型,是否有获取,说明,PK,NOT NULL,UNIQUE,DEFAULT,FK,CHECK,备注,父记录
user_basic,user_id,BIGINT,,用户唯一标识,1,,,,,,,
user_basic,user_name,VARCHAR(255),,登陆用户名（唯一）,,,,,,,,
user_basic,user_password,VARCHAR(255),,登陆密码（加密）,,,,,,,,
user_basic,user_email,VARCHAR(254),,邮箱，用于找回密码、消息通知等,,,,,,,,
user_basic,user_phone,CHAR(11),,用户手机号,,,,,,,,
user_basic,user_nickname,VARCHAR(255),,用户显示昵称,,,,,,,,
user_basic,user_avatar,VARCHAR(255),,头像（文件 URL）,,,,,,,,
user_basic,user_type,VARCHAR(255),,所属领域（1:数字医疗，2:康养）,,,,,,,,
user_basic,is_superuser,TINYINT,,是否为管理员（1:是，0:否）,,,,,,,,
user_basic,user_role,VARCHAR,,用户角色,,,,,,,,
user_basic,date_joined,DATETIME,,注册时间,,,,,,,,
user_basic,last_login_time,DATETIME,,上次登录时间,,,,,,,,
user_basic,last_login_ip,VARCHAR(255),,上次登陆ip，安全追溯,,,,,,,,
user_basic,password_update_time,DATETIME,,上次修改密码时间,,,,,,,,
user_basic,user_real_name,VARCHAR(255),,用户真实姓名,,,,,,,,
user_basic,org_name,VARCHAR(255),,用户所属组织名称,,,,,,,,
user_basic,org_id,VARCHAR(255),,用户所属组织id,,,,,,,,
user_basic,dept_name,VARCHAR(255),,用户所属部门名称,,,,,,,,
user_basic,dept_id,VARCHAR(255),,用户所属部门id,,,,,,,,
user_basic,user_status,TINYINT,,用户状态（0:禁用，1:正常，2:待审核）,,,,,,,,
company_basic,company_id,BIGINT,,企业唯一标识,1,,,,,,,
company_basic,company_name,VARCHAR(255),1,企业名称,,0,,,,,,
company_basic,company_name_en,VARCHAR(255),,企业英文名称,,,,,,,,
company_basic,company_former_name（企业曾用名表）,,,企业曾用名,,,,,,,,
company_basic,credit_code,CHAR(18),1,统一社会信用代码,,0,,,,,,
company_basic,legal_representative,VARCHAR(255),1,法定代表人,,0,,,,,,
company_basic,register_number,CHAR(15),1,注册号（工商注册号，旧版企业登记编号）,,,,,,,,
company_basic,,,,核准日期（工商信息最后核准更新日期）,,,,,,,,
company_basic,org_code,CHAR(9),1,组织机构代码,,,,,,,,
company_basic,establish_date,DATE,1,成立日期,,,,,,,,
company_basic,,,,经营期限（如长期，2020-2050）,,,,,,,,
company_basic,business_scope,TEXT,1,经营范围,,,,,,,,
company_basic,company_status,VARCHAR(255),1,经营状态（存续）,,,,,,,,
company_basic,email_business,VARCHAR(255),1,企业邮箱（工商信息）,,,,,,,,
company_basic,email_auth,VARCHAR(255),0,企业邮箱（认证）,,,,,,,,
company_basic,website（企业网站表，最新的记录作为该字段的值）,VARCHAR(255),,企业网站URL,,,,,,,,
company_basic,contact_phone（联系电话表，最新的记录作为该字段的值）,VARCHAR(255),1,联系电话,,,,,,,,
company_basic,contact_info（联系方式表，最新的记录作为该字段的值）,VARCHAR(255),1,联系方式,,,,,,,,
company_basic,recommanded_phone（推荐电话表，最新的记录作为该字段的值）,VARCHAR(255),1,推荐电话,,,,,,,,
company_basic,（股东信息表，最新的记录作为该字段的值）,VARCHAR(255),1,股东,,,,,,,,
company_basic,register_sheng,VARCHAR(255),,注册地（省）,,,,,,,,
company_basic,register_shi,VARCHAR(255),,注册地（市）,,,,,,,,
company_basic,register_xian,VARCHAR(255),,注册地（区县）,,,,,,,,
company_basic,subdistrict,VARCHAR(255),1,所属街道/地区,,,,,,,,
company_basic,register_capital,"DEMICAL(18,4)",1,注册资本（万元）,,,,,,,,
company_basic,paid_capital,"DEMICAL(18,4)",1,实缴资本（万元）,,,,,,,,
company_basic,company_type,TINYINT,1,企业类型,,,,,,,,
company_basic,,TINYINT,1,组织类型（暂时保留）,,,,,,,,
company_basic,,VARCHAR(255),1,投资类型,,,,,,,,
company_basic,company_scale,TINYINT,1,企业规模（例如，1:微型企业）,,,,,,,,
company_basic,（员工人数表，不同年份，不同人数）,INT,1,员工人数,,,,,,,,
company_basic,insured_count,INT,1,参保人数,,,,,,,,
company_basic,industry_belong,TINYINT/VARCHAR(255),1,所属行业（国标）,,,,,,,,
company_basic,industry_belong_code,TINYINT/VARCHAR(255),,所属行业代码（国标）,,,,,,,,
company_basic,is_branch,VARCHAR(255),,是否为分支机构,,,,,,,,
company_basic,branch_id,BIGINT,,分支机构唯一标识,,,,,,,,
company_basic,（分支机构表，最新的记录作为该字段的值）,VARCHAR(255),1,分支机构名称,,,,,,,,
company_basic,register_address,VARCHAR(255),1,企业地址（工商信息）/地址信息,,,,,,,,
company_basic,（企业地址信息表，最新的地址作为该字段的值）,VARCHAR(255),,企业地址（详细，最新）,,,,,,,,
company_basic,（企业资质表，最新的记录作为该字段的值）,,1,企业资质/企业科技属性,,,,,,,,
company_basic,is_general_taxpayer,TINYINT,1,是否为一般纳税人（1:是，0:否）,,,,,,,,
company_basic,taxpayer_qualifications,,,纳税人资质：增值税/非增值税,,,,,,,,
company_basic,taxpayer_credit_rating,TINYINT,,纳税人信用等级：ABCDM,,,,,,,,
company_basic,financing_round,,1,（最新）投融资轮次,,,,,,,,
company_basic,financing_round_verify_time,,,（最新）投融资轮次核准时间,,,,,,,,
company_basic,（投融资轮次信息表）,VARCHAR(255),,投融资轮次信息,,,,,,,,
company_basic,stock_code,CHAR(),,股票代码,,,,,,,,
