数据表,字段名,数据类型,是否有获取,说明,PK,NOT NULL,UNIQUE,DEFAULT,FK,CHECK,备注,父记录
rag_chat_session,session_id,VARCHAR(64),,RAG 对话会话 ID,1,1,,,,,,RAG 对话会话表
rag_chat_session,user_id,BIGINT,,所属用户 ID（users.user_id）,,1,,,,,,RAG 对话会话表
rag_chat_session,title,VARCHAR(255),,会话标题,,,,NULL,,,,RAG 对话会话表
rag_chat_session,is_pinned,TINYINT,,是否置顶（1:是，0:否）,,1,,0,,,,RAG 对话会话表
rag_chat_session,created_at,DATETIME,,创建时间,,1,,CURRENT_TIMESTAMP,,,,RAG 对话会话表
rag_chat_session,updated_at,DATETIME,,更新时间,,1,,CURRENT_TIMESTAMP,,,,RAG 对话会话表
rag_chat_message,message_id,BIGINT,,消息主键,1,1,,,,,AUTO_INCREMENT,RAG 对话消息表
rag_chat_message,session_id,VARCHAR(64),,所属会话 ID,,1,,,,,,RAG 对话消息表
rag_chat_message,role,VARCHAR(16),,消息角色（user/assistant/system）,,1,,,,,,RAG 对话消息表
rag_chat_message,content,LONGTEXT,,消息正文,,1,,,,,,RAG 对话消息表
rag_chat_message,retrieval_metadata,JSON,,检索元数据,,,,NULL,,,,RAG 对话消息表
rag_chat_message,created_at,DATETIME,,创建时间,,1,,CURRENT_TIMESTAMP,,,,RAG 对话消息表
company_basic,company_id,BIGINT,,企业唯一标识,1,1,,,,,AUTO_INCREMENT,企业基础信息表
company_basic,company_name,VARCHAR(255),,企业名称,,,,NULL,,,,企业基础信息表
company_basic,company_name_en,VARCHAR(255),,企业英文名称,,,,NULL,,,,企业基础信息表
company_basic,former_name_latest,VARCHAR(255),,企业曾用名（最新）,,,,NULL,,,,企业基础信息表
company_basic,credit_code,CHAR(18),,统一社会信用代码,,1,1,,,,,企业基础信息表
company_basic,legal_representative,VARCHAR(255),,法定代表人,,,,NULL,,,,企业基础信息表
company_basic,register_number,CHAR(15),,注册号（工商注册号，旧版企业登记编号）,,,,NULL,,,,企业基础信息表
company_basic,approved_date,DATE,,核准日期（工商信息最后核准更新日期）,,,,NULL,,,,企业基础信息表
company_basic,org_code,CHAR(9),,组织机构代码,,,,NULL,,,,企业基础信息表
company_basic,establish_date,DATE,,成立日期,,,,NULL,,,,企业基础信息表
company_basic,business_term,VARCHAR(255),,经营期限,,,,NULL,,,,企业基础信息表
company_basic,business_scope,TEXT,,经营范围,,,,,,,,企业基础信息表
company_basic,company_status,VARCHAR(255),,经营状态,,,,NULL,,,,企业基础信息表
company_basic,email_business,VARCHAR(255),,企业邮箱（工商信息）,,,,NULL,,,,企业基础信息表
company_basic,email_auth,VARCHAR(255),,企业邮箱（认证）,,,,NULL,,,,企业基础信息表
company_basic,website,VARCHAR(255),,企业网站 URL,,,,NULL,,,,企业基础信息表
company_basic,contact_phone,VARCHAR(255),,联系电话,,,,NULL,,,,企业基础信息表
company_basic,contact_info,VARCHAR(255),,联系方式,,,,NULL,,,,企业基础信息表
company_basic,recommended_phone,VARCHAR(255),,推荐电话,,,,NULL,,,,企业基础信息表
company_basic,latest_shareholder_name,VARCHAR(255),,股东（最新）,,,,NULL,,,,企业基础信息表
company_basic,register_sheng,VARCHAR(255),,注册地（省）,,,,NULL,,,,企业基础信息表
company_basic,register_shi,VARCHAR(255),,注册地（市）,,,,NULL,,,,企业基础信息表
company_basic,register_xian,VARCHAR(255),,注册地（区县）,,,,NULL,,,,企业基础信息表
company_basic,subdistrict,VARCHAR(255),,所属街道/地区,,,,NULL,,,,企业基础信息表
company_basic,register_capital,"DECIMAL(18, 4)",,注册资本（万元）,,,,NULL,,,,企业基础信息表
company_basic,paid_capital,"DECIMAL(18, 4)",,实缴资本（万元）,,,,NULL,,,,企业基础信息表
company_basic,company_type,VARCHAR(255),,企业类型,,,,NULL,,,,企业基础信息表
company_basic,org_type,VARCHAR(255),,组织类型（暂时保留）,,,,NULL,,,,企业基础信息表
company_basic,investment_type,VARCHAR(255),,投资类型,,,,NULL,,,,企业基础信息表
company_basic,company_scale,VARCHAR(255),,企业规模,,,,NULL,,,,企业基础信息表
company_basic,employee_count,INT,,员工人数（最新）,,,,NULL,,,,企业基础信息表
company_basic,insured_count,INT,,参保人数,,,,NULL,,,,企业基础信息表
company_basic,industry_belong,VARCHAR(255),,所属行业（国标）,,,,NULL,,,,企业基础信息表
company_basic,industry_belong_code,VARCHAR(255),,所属行业代码（国标）,,,,NULL,,,,企业基础信息表
company_basic,is_branch,TINYINT,,是否为分支机构（1:是，0:否）,,1,,0,,"`is_branch` IN (0, 1)",,企业基础信息表
company_basic,branch_id,BIGINT,,分支机构唯一标识,,,,NULL,,,,企业基础信息表
company_basic,branch_name,VARCHAR(255),,分支机构名称（最新）,,,,NULL,,,,企业基础信息表
company_basic,register_address,VARCHAR(255),,企业地址（工商信息）,,,,NULL,,,,企业基础信息表
company_basic,register_address_detail,VARCHAR(255),,企业地址（详细，最新）,,,,NULL,,,,企业基础信息表
company_basic,qualification_label,VARCHAR(255),,企业资质/企业科技属性（最新）,,,,NULL,,,,企业基础信息表
company_basic,is_general_taxpayer,TINYINT,,是否为一般纳税人（1:是，0:否）,,1,,0,,"`is_general_taxpayer` IN (0, 1)",,企业基础信息表
company_basic,taxpayer_qualifications,VARCHAR(255),,纳税人资质,,,,NULL,,,,企业基础信息表
company_basic,taxpayer_credit_rating,VARCHAR(16),,纳税人信用等级：ABCDM,,,,NULL,,,,企业基础信息表
company_basic,financing_round,VARCHAR(255),,投融资轮次（最新）,,,,NULL,,,,企业基础信息表
company_basic,financing_round_verify_time,DATE,,投融资轮次核准时间（最新）,,,,NULL,,,,企业基础信息表
company_basic,financing_info,VARCHAR(255),,投融资轮次信息（最新）,,,,NULL,,,,企业基础信息表
company_basic,stock_code,VARCHAR(32),,股票代码,,,,NULL,,,,企业基础信息表
company_basic,field_belong,TINYINT,,所属领域（1:数字医疗，2:康养）,,,,NULL,,"`field_belong` IS NULL OR `field_belong` IN (1, 2)",,企业基础信息表
company_basic,is_high_tech_enterprise,TINYINT,,是否为高新技术企业（1:是，0:否）,,1,,0,,,,企业基础信息表
company_basic,is_high_tech_enterprise_verify_time,DATE,,高新技术企业认证日期,,,,NULL,,,,企业基础信息表
